movie_id,title,genres,keywords,overview,cast,director
14,The Silence of the Lambs,Crime Drama Thriller,serial killer fbi psychological profiling,A young FBI trainee seeks the help of an imprisoned cannibalistic psychiatrist to catch another serial killer.,Jodie Foster Anthony Hopkins,Jonathan Demme
15,Se7en,Crime Drama Mystery,serial killer detectives sins,Two detectives hunt a methodical killer who selects victims based on the seven deadly sins.,Brad Pitt Morgan Freeman,David Fincher
16,The Green Mile,Crime Drama Fantasy,death row supernatural prison guard,A death row prison guard witnesses the extraordinary healing gift of a gentle giant inmate.,Tom Hanks Michael Clarke Duncan,Frank Darabont
17,Saving Private Ryan,Drama War,world war two rescue mission squad,A squad of soldiers is sent behind enemy lines to retrieve a paratrooper whose brothers were killed in action.,Tom Hanks Matt Damon,Steven Spielberg
18,Schindler's List,Biography Drama History,holocaust rescue factory owner war,A German businessman gradually becomes concerned for the Jewish workforce he employs during the Holocaust.,Liam Neeson Ralph Fiennes,Steven Spielberg
19,The Prestige,Drama Mystery Sci-Fi,magicians rivalry illusion obsession,Two rival stage magicians engage in an escalating battle of illusions with devastating consequences.,Christian Bale Hugh Jackman,Christopher Nolan
20,Whiplash,Drama Music,jazz drummer mentor obsession ambition,A young drummer enrolls at a cutthroat music conservatory under the tutelage of an abusive perfectionist instructor.,Miles Teller J.K. Simmons,Damien Chazelle
21,La La Land,Comedy Drama Music Romance,jazz musician actress dreams los angeles,An aspiring actress and a dedicated jazz musician pursue their dreams while falling in love in Los Angeles.,Ryan Gosling Emma Stone,Damien Chazelle
22,Parasite,Comedy Drama Thriller,class divide deception wealth family scheme,A poor family schemes to infiltrate the household of a wealthy family with unexpected and dark consequences.,Song Kang-ho Choi Woo-shik,Bong Joon-ho
23,Coco,Animation Family Fantasy Music,mexico family music afterlife tradition,A young boy is transported to the land of the dead where he uncovers his family's forgotten musical history.,Anthony Gonzalez Gael Garcia Bernal,Lee Unkrich
24,Toy Story,Animation Adventure Comedy Family,toys friendship jealousy adventure,A cowboy doll's world is turned upside down when a spaceman action figure becomes his owner's new favorite toy.,Tom Hanks Tim Allen,John Lasseter
25,Up,Animation Adventure Comedy Family,balloons house adventure grief friendship,An elderly widower ties thousands of balloons to his house and sets off on an adventure he never expected.,Edward Asner Jordan Nagai,Pete Docter
26,Spirited Away,Animation Adventure Family Fantasy,spirit world bathhouse magic coming of age,A young girl wanders into a mysterious spirit world and must work in a bathhouse to save her parents.,Rumi Hiiragi Miyu Irino,Hayao Miyazaki
27,Avengers: Endgame,Action Adventure Sci-Fi,superhero team time travel universe,The surviving heroes assemble one final time to undo the devastation caused by a universe-altering villain.,Robert Downey Jr. Chris Evans,Anthony Russo
28,Iron Man,Action Adventure Sci-Fi,billionaire inventor suit superhero origin,A billionaire industrialist builds a powered suit of armor after being held captive to become a hero.,Robert Downey Jr. Gwyneth Paltrow,Jon Favreau
29,Black Panther,Action Adventure Sci-Fi,kingdom superhero legacy technology,A newly crowned king must defend his technologically advanced kingdom from a vengeful challenger to the throne.,Chadwick Boseman Michael B. Jordan,Ryan Coogler
30,Get Out,Horror Mystery Thriller,race social commentary hypnosis family,A young man uncovers a disturbing secret when he visits his white girlfriend's family estate for the weekend.,Daniel Kaluuya Allison Williams,Jordan Peele
31,A Quiet Place,Drama Horror Sci-Fi,silence monsters survival family,A family must live in near silence while hiding from creatures that hunt anything that makes a sound.,Emily Blunt John Krasinski,John Krasinski
32,Django Unchained,Drama Western,slavery bounty hunter revenge freedom,A freed slave partners with a bounty hunter to rescue his wife from a brutal plantation owner.,Jamie Foxx Christoph Waltz,Quentin Tarantino
33,Kill Bill: Vol. 1,Action Crime Thriller,assassin revenge martial arts betrayal,A former assassin awakens from a coma and sets out on a bloody quest of revenge against her betrayers.,Uma Thurman David Carradine,Quentin Tarantino
34,The Departed,Crime Drama Thriller,undercover mole police mafia boston,An undercover cop and a criminal mole infiltrate each other's organizations within the Boston police and mob.,Leonardo DiCaprio Matt Damon,Martin Scorsese
35,Goodfellas,Biography Crime Drama,mob rise and fall loyalty new york,A young man's rise through the ranks of the mafia leads to wealth violence and eventual downfall.,Robert De Niro Ray Liotta,Martin Scorsese
36,The Wolf of Wall Street,Biography Comedy Crime,stockbroker fraud excess wall street,A stockbroker's rapid rise to wealth through fraud is matched only by his spectacular descent into corruption.,Leonardo DiCaprio Jonah Hill,Martin Scorsese
37,Joker,Crime Drama Thriller,mental illness clown society descent,A failed comedian's descent into madness sparks a violent movement in a decaying crime-ridden city.,Joaquin Phoenix Robert De Niro,Todd Phillips
38,Avatar,Action Adventure Fantasy Sci-Fi,alien planet colonization nature soldier,A paraplegic marine is sent to a lush alien moon and finds himself torn between orders and protecting its people.,Sam Worthington Zoe Saldana,James Cameron
39,Dune,Adventure Drama Sci-Fi,desert planet prophecy politics resource,A young heir travels to a dangerous desert planet that holds the key to his family's future amid political intrigue.,Timothee Chalamet Rebecca Ferguson,Denis Villeneuve
40,Blade Runner 2049,Drama Mystery Sci-Fi,replicant identity dystopia detective,A young blade runner unearths a long-buried secret that could plunge a dystopian society into chaos.,Ryan Gosling Harrison Ford,Denis Villeneuve
41,Her,Drama Romance Sci-Fi,artificial intelligence loneliness love technology,A lonely writer develops an unlikely relationship with an intelligent operating system designed to meet his needs.,Joaquin Phoenix Scarlett Johansson,Spike Jonze
42,Eternal Sunshine of the Spotless Mind,Drama Romance Sci-Fi,memory erasure heartbreak relationship,A heartbroken man undergoes a procedure to erase memories of his former girlfriend only to relive their romance.,Jim Carrey Kate Winslet,Michel Gondry
43,The Grand Budapest Hotel,Adventure Comedy Drama,concierge hotel heist quirky europe,A legendary concierge and his protege become entangled in a theft and murder investigation at a famous hotel.,Ralph Fiennes Tony Revolori,Wes Anderson
44,Knives Out,Comedy Crime Drama Mystery,murder mystery family inheritance detective,A brilliant detective investigates the death of a wealthy crime novelist surrounded by his dysfunctional family.,Daniel Craig Ana de Armas,Rian Johnson
45,The Social Network,Biography Drama,startup lawsuit friendship betrayal technology,The founding of a social media empire is chronicled alongside the lawsuits and fractured friendships it left behind.,Jesse Eisenberg Andrew Garfield,David Fincher
46,Moneyball,Biography Drama Sport,baseball statistics underdog analytics,A struggling baseball manager builds a competitive team using data-driven statistical analysis instead of scouting instinct.,Brad Pitt Jonah Hill,Bennett Miller
47,The Imitation Game,Biography Drama Thriller,codebreaker war mathematician secrecy,A brilliant mathematician leads a team to crack a seemingly unbreakable enemy code during World War II.,Benedict Cumberbatch Keira Knightley,Morten Tyldum
48,Good Will Hunting,Drama,genius janitor therapy mathematics,A janitor with a genius-level intellect for mathematics must confront his troubled past with the help of a therapist.,Robin Williams Matt Damon,Gus Van Sant
49,The Pursuit of Happyness,Biography Drama,homeless father salesman perseverance,A struggling salesman takes custody of his son as he battles homelessness on his way to a life-changing career.,Will Smith Jaden Smith,Gabriele Muccino
50,Life Is Beautiful,Comedy Drama War,holocaust father son imagination hope,A father uses his imagination to shield his young son from the horrors of a Nazi concentration camp.,Roberto Benigni Nicoletta Braschi,Roberto Benigni
